"","X1","doc_id","Date","pr_nr","pr_date","short_text","docket_nb","date","year","pr_dummy","decision_type","second_senate_dummy","chamber_decision","unanimous","sep_op","oral","bvr","bvl","bvq","bvc","bve","bvf","bvb","bvg","bvk","bvh","bvm","bvn","pbvu","bvp","unsuc_dec","uncons","hyp_time_minus","prior_attention","count","lower_co_uncons","status_quo"
"49",49,"19970709_2bvr038994.txt",19970709,NA,NA,"Unzulaessigkeit einer Verfassungsbeschwerde betreffend die Pruefung der Durchfuehrung eines Volksentscheids ueber das Abfallrecht in Bayern
","2 BvR 389/94",1997-07-09 02:00:00,1997,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-06-29 02:00:00,1,4637,0,0
"50",50,"19970709_2bvr137196.txt",19970709,NA,NA,"Bei Verfassungsbeschwerden gegen eine strafrechtliche Verurteilung liegt ein besonders schwerer Nachteil (§ 93a Abs. 2 lit. b BVerfGG) regelmaessig vor, wenn der Schuldspruch angegriffen wird
","2 BvR 1371/96",1997-07-09 02:00:00,1997,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-06-29 02:00:00,1,1775,0,0
"51",51,"19970715_1bvl002094.txt",19970715,NA,NA,"Zur Verfassungswidrigkeit einer Regelung, die eine vom Bundesverfassungsgericht fuer verfassungswidrig erklaerte Norm fuer uebergangsfaelle wiederholt
","1 BvL 20/94",1997-07-15 02:00:00,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997-07-05 02:00:00,1,1455,1,0
"52",52,"19970715_1bvr117490.txt",19970715,NA,NA,"Keine erhoehte Prozessgebuehr bei Vertretung mehrerer Beschwerdefuehrer
","1 BvR 1174/90",1997-07-15 02:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1997-07-05 02:00:00,1,3245,0,1
"53",53,"19970917_2bve000495.txt",19970917,NA,NA,"Zur Rechtsstellung eines Zusammenschlusses von Abgeordneten, deren Partei die Sperrklausel unter Anwendung der Grundmandatsklausel ueberwunden hat.
","2 BvE 4/95",1997-09-17 02:00:00,1997,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1997-09-07 02:00:00,0,8340,0,0
"54",54,"19971008_1bvr000997.txt",19971008,NA,NA,"Keine Benachteiligung iSv GG Art 3 Abs 3 S 2 durch die gegen den Willen der Eltern erfolgte ueberweisung eines behinderten Schuelers an eine Sonderschule - zu den sich aus GG Art 3 Abs 3 S 2, Art 2 Abs 1 u Art 6 Abs 2 S 1 ergebenden Anforderungen an die Begruendung der schulbehoerdlichen ueberweisungsverfuegung
","1 BvR 9/97",1997-10-08 02:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-09-28 02:00:00,0,9055,0,0
"55",55,"19971014_1bvl000589.txt",19971014,"20/1998","3. Maerz 1998","Zur Frage, ob berufsbegleitend Studierende vom Wohngeldbezug ausgeschlossen werden koennenSiehe auchPressemitteilung Nr. 20/1998 vom 3. Maerz 1998
","1 BvL 5/89",1997-10-14 02:00:00,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-10-04 02:00:00,0,4951,0,0
"56",56,"19971014_1bvl000593.txt",19971014,"2/1998","4. Januar 1998","Gewaehrung von ""BAfoeG"" als Volldarlehen ist verfassungsgemaessSiehe auchPressemitteilung Nr. 2/1998 vom 14. Januar 1998
","1 BvL 5/93",1997-10-14 02:00:00,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-10-04 02:00:00,0,4692,0,0
"57",57,"19971015_2bvn000195.txt",19971015,"10/1998","16. Februar 1998","Zur Pruefungskompetenz eines LandesverfassungsgerichtsSiehe auchPressemitteilung Nr. 10/1998 vom 16. Februar 1998
","2 BvN 1/95",1997-10-15 02:00:00,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1997-10-05 02:00:00,0,9911,0,0
"58",58,"19971028_1bvr164494.txt",19971028,NA,NA,"Verfassungsbeschwerde gegen die Hoehe einer Erbschaftsteuerforderung erfolglos
","1 BvR 1644/94",1997-10-28 01:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-10-18 02:00:00,1,3694,0,0
"59",59,"19971029_1bvr078087.txt",19971029,"23/1998","6. Maerz 1998","Nicht nur Rechts- oder Patentanwaelte duerfen Faelligkeit und Zahlung von Patentgebuehren ueberwachenSiehe auchPressemitteilung Nr. 23/1998 vom 6. Maerz 1998
","1 BvR 780/87",1997-10-29 01:00:00,1997,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-10-19 02:00:00,1,7268,0,0
"60",60,"19971112_1bvr047992.txt",19971112,NA,NA,"Verfassungsbeschwerden betreffend die Unterhaltspflicht fuer ein Kind bei fehlgeschlagener Sterilisation oder fehlerhafter genetischer Beratung erfolglos
","1 BvR 479/92",1997-11-12 01:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-11-02 01:00:00,1,10635,0,0
"61",61,"19971127_1bvl001291.txt",19971127,"3/1998","5. Januar 1998","Frueheres Hamburger Ruhegeldgesetz war hinsichtlich ""unterhalbszeitig"" Beschaeftigten mit Art. 3 Abs. 1 GG unvereinbarSiehe auchPressemitteilung Nr. 3/1998 vom 15. Januar 1998
","1 BvL 12/91",1997-11-27 01:00:00,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997-11-17 01:00:00,0,4925,1,0
"62",62,"19971202_2bvl005592.txt",19971202,"8/1998","1. Februar 1998","Zum Befoerderungsverbot fuer AsylbewerberSiehe auchPressemitteilung Nr. 8/1998 vom 11. Februar 1998
","2 BvL 55/92",1997-12-02 01:00:00,1997,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-11-22 01:00:00,1,5882,0,0
"63",63,"19971203_2bvr088297.txt",19971203,"25/1998","13. Maerz 1998","Erfolglose Verfassungsbeschwerde im Zusammenhang mit der Abschaffung steuerlicher Beguenstigungen von SchiffsbauvertraegenSiehe auchPressemitteilung Nr. 25/1998 vom 13. Maerz 1998
","2 BvR 882/97",1997-12-03 01:00:00,1997,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-11-23 01:00:00,1,7233,0,0
"64",64,"19971209_1bvr161194.txt",19971209,"6/1998","7. Januar 1998","Kein Rueckuebereignungsanspruch auf in der DDR enteignetes Grundstueck, wenn Enteignungszweck nicht verwirklicht wurdeSiehe auchPressemitteilung Nr. 6/1998 vom 27. Januar 1998
","1 BvR 1611/94",1997-12-09 01:00:00,1997,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-11-29 01:00:00,0,4351,0,0
"65",65,"19971209_1bvr230696.txt",19971209,NA,NA,"Wiederholung der einstweiligen Anordnung gegen Vorschriften des Bayerischen Schwangerenhilfeergaenzungsgesetzes
","1 BvR 2306/96",1997-12-09 01:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-11-29 01:00:00,0,612,0,0
